ID,Input,Output,Food Bank Name
,"3:30-4:30PM,2nd Wednesday,Oct-22,May-23","Saturday,8:30,10:30,,,,,October through May Only,3,,Week of Month,,,;Wednesday,15:30,16:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"5:30-6:30pm,2nd Tuesday ,Oct-22,May-23","Tuesday,17:30,18:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"5-6pm,2nd Tuesday ,Oct-22,May-23","Tuesday,17:00,18:00,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"4:15-5:15pm,1st Thursday ,Oct-22,May-23","Thursday,16:15,17:15,,,,,October through May Only,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30PM,1st Thurs,Oct-22,May-23","Thursday,15:30,16:30,,,,,October through May Only,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"2:30-3:30pm,1st Thurs,Oct-22,May-23","Thursday,14:30,15:30,,,,,October through May Only,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30pm,1st Thurs,Oct-22,May-23","Thursday,15:30,16:30,,,,,October through May Only,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"2:30-3:30pm,1st Thurs,Oct-22,May-23","Thursday,14:30,15:30,,,,,October through May Only,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"10-11am ,3rd Friday,Oct-22,May-23","Friday,10:00,11:00,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"10AM-11AM,3rd Wednesday,Oct-22,May-23","Wednesday,10:00,11:00,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3rd Thursday 10AM-11AM,3rd Wednesday,Oct-22,May-23","Wednesday,10:00,11:00,,,,,October through May Only,,3,Day of Month,,,;Thursday,10:00,11:00,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"10:30AM-11:30AM ,2nd Wednesday,Oct-22,May-23","Wednesday,10:30,11:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"2nd Thursday 9:30am-10:30am,2nd Thursday,Oct-22,May-23","Thursday,9:30,10:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"330-5pm,Every Thursday,Oct-22,Dec-22","Thursday,15:30,17:30,,,,,October through December Only,,,Weekly,,,",Food Bank of Santa Barbara County
,"415-645pm,Every Thursday,Jun-22,Jul-22","Thursday,16:15,18:45,,,,,June through July Only,,,Weekly,,,",Food Bank of Santa Barbara County
,"2-4pm,Wednesdays,Ocotber 2022,Dec-22","Wednesday,14:00,16:00,,,,,October through December only,,,Weekly,,,",Food Bank of Santa Barbara County
,"2-4pm,Wednesdays,Jan-23,Mar-23","Wednesday,14:00,16:00,,,,,January through March Only,,,Weekly,,,",Food Bank of Santa Barbara County
,"2-4PM,Every Thursday,Jan-23,Mar-23","Thursday,14:00,16:00,,,,,January through March Only,,,Weekly,,,",Food Bank of Santa Barbara County
,"3-5pm,Last Monday of the month ,Octobeer 2022,Ongoing","Saturday,15:00,17:00,,,,,Last Saturday of the Month only,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"8:00AM-10:30AM,Last Saturday of the Month,,Ongoing","Saturday,8:00,10:30,,,,,,,1,Day of Month,,,,Saturday,8:00,10:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9-1130am,3rd Wednesday of motnh, 3/23/22,Ongoing","Wednesday,9:00,11:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"2-4pm,Every  3rd Friday of month,,Ongoing","Friday,14:00,16:00,,,,,,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"2-4pm,Every  4th Friday of the month,,Ongoing","Friday,14:00,16:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"2-4pm,Every 1st Friday of the month ,,Ongoing","Wednesday,9:00,10:00,,,,,Last Wednesday of the month only,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"2-4pm,Every 2nd Friday of the month ,,Ongoing","Friday,14:00,16:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"11AM-3PM,Every 2nd or 3rd Sunday,Nov-22,Ongoing","Sunday,11:00,15:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3-5pm,2nd Monday of the month ,Nov-22,Ongoing","Monday,15:00,17:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,",2nd & 4th Wednesday,Apr-23,","Wednesday,,,,,,,,,2,Day of Month,,,,Wednesday,,,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,",1st & 3rd Tuesday ,Apr-23,","Tuesday,,,,,,,,,1,Day of Month,,,,Tuesday,,,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3-4pm,4th Friday,1-Oct-22,May-22","Friday,15:00,16:00,,,,,October through May Only,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"3-4pm,3rd Thursday,1-Oct-22,May-22","Thursday,15:00,16:00,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"2:50-3:50pm,2nd Wednesday,1-Oct-22,May-22","Wednesday,14:50,15:50,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"2-3pm,4th Friday,1-Oct-22,May-22","Friday,16:00,17:00,,,,,October through May Only,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"3:45-4:45pm,2nd Wednesday,1-Oct-22,May-22","Wednesday,15:45,16:45,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3:45-4:45pm,3rd Thursday,1-Oct-22,May-22","Thursday,15:45,16:45,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3:45-4:45pm,3rd Wednesday,1-Oct-22,May-22","Wednesday,15:45,16:45,,,,,October through May Only,,3,Day of Month,,,;Wednesday,15:45,16:45,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30pm,3rd Wednesday,1-Oct-22,May-22","Saturday,8:30,10:30,,,,,October through May Only,2,,Week of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30pm,2nd Tuesday,1-Oct-22,May-22","Tuesday,15:30,16:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30pm,3rd Tuesday,1-Oct-22,May-22","Tuesday,15:30,16:30,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"4-5pm ,3rd Friday,1-Oct-22,May-22","Friday,16:00,17:00,,,,,October through May Only,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"10:00-11:00 am,1st Wednesday of the month ,N/A,Ongoing","Wednesday,10:00,11:00,,,,,,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00-10:00 am,1st and 3rd Thursday,N/A,Ongoing","Thursday,9:00,10:00,,,,,,,1,Day of Month,,,;Thursday,9:00,10:00,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00-10:00 am,1st and 3rd Monday,N/A,Ongoing","Monday,9:00,10:00,,,,,,,1,Day of Month,,,;Monday,9:00,10:00,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00am-10:00am,2nd Friday of the month ,N/A,Ongoing","Friday,9:00,10:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00am-9:30am,Last Friday of the month ,N/A,Ongoing","Friday,9:00,9:30,,,,,,,2,Day of Month,,,;Friday,9:00,9:30,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"1:30-2:30pm,1st and 3rd friday,43739,Ongoing","Friday,13:30,14:30,,,,,,,1,Day of Month,,,;Friday,13:30,14:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9am-10am,1st and 3rd Tuesday,,Ongoing","Tuesday,9:00,10:00,,,,,,,1,Day of Month,,,;Tuesday,9:00,10:00,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"11:30am-12:30pm,2nd Friday of the month ,,Ongoing","Friday,11:30,12:30,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"2-230pm,3rd Monday of the month ,,Ongoing","Monday,14:00,14:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00am-10:00am,1st and 3rd Wednesday,N/A,Ongoing","Wednesday,9:00,10:00,,,,,,,1,Day of Month,,,;Wednesday,9:00,10:00,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"8:00-9:00 am,1st Monday of the month ,N/A,Ongoing","Monday,8:00,9:00,,,,,,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"1:45pm-2:45pm,2nd and 4thWednesday ,,Ongoing","Wednesday,13:45,14:45,,,,,,,2,Day of Month,,,;Wednesday,13:45,14:45,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"10-11AM,2nd Wednesday,8-Mar-23,Ongoing","Wednesday,10:00,11:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"2-3PM,1st & 3rd Friday,3-Mar-23,Ongoing","Friday,14:00,15:00,,,,,,,1,Day of Month,,,;Friday,14:00,15:00,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"4-530pm,Fridays,10/14/2022,12/9/2022","Friday,16:00,17:30,,,,,,,,Weekly,,,",Food Bank of Santa Barbara County
,"3:30-5:30pm,Wednesdays,10/13/2022,12/7/2022","Wednesday,15:30,17:30,,,,,,,,Weekly,,,",Food Bank of Santa Barbara County
,"3-430pm ,Thursdays,1/26/2023,3/26/2023","Thursday,15:00,16:30,,,,,,,,Weekly,,,",Food Bank of Santa Barbara County
,"Saturday,1:30:00 PM,4:00:00 PM,,,,,,,,,","Saturday,13:30,16:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturday,10:00:00 AM,12:00:00 PM,,,,,,,,,","Saturday,10:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Mondays,1:00:00 PM,3:00:00 PM,,,,,,,,,","Monday,13:00,15:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturdays,3:00:00 PM,5:00:00 PM,,,,,,,,,","Saturday,15:00,17:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"3RD SAT,9:00:00 AM,11:30:00 AM,,,,,,,,,","Saturday,9:00,11:30,,,,,,,3,Day of Month,,,",Peoria Food Bank
,"Tue, Thu,9:30:00 AM,11:30:00 AM,,,,,,,,,","Tuesday,9:30,11:30,,,,,,,,Weekly,,,;Thursday,9:30,11:30,,,,,,,,Weekly,,,",Peoria Food Bank
,"Monday,10:00:00 AM,1:00:00 PM,,,,,,,,,","Monday,10:00,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturday,10:00:00 AM,12:00:00 PM,,,,,,,,,","Saturday,10:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"by appointment only, no hours of operation,,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"1ST & 3RD TUES,1:00:00 PM,3:00:00 PM,,,,,,,,,","Tuesday,13:00,15:00,,,,,,,1,Day of Month,,,;Tuesday,13:00,15:00,,,,,,,3,Day of Month,,,",Peoria Food Bank
,"Thursday,8:30:00 AM,10:30:00 AM,,,,,,,,,","Thursday,8:30,10:30,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturday,8:30:00 AM,12:00:00 PM,,,,,,,,,","Saturday,8:30,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Monday,1:00:00 PM,3:00:00 PM,,,,,,,,,","Monday,13:00,15:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"2ND SAT,8:00:00 AM,12:00:00 PM,,,,,,,,,","Saturday,8:00,12:00,,,,,,,2,Day of Month,,,",Peoria Food Bank
,"by appointment only,,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"Saturday,11:30:00 AM,1:00:00 PM,,,,,,,,,","Saturday,11:30,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Last SAT,11:00:00 AM,12:30:00 PM,,,,,,,,,","Saturday,11:00,12:30,,,,,Last of month (may be 5th),,4,Day of Month,,,",Peoria Food Bank
,"1ST THU,9:00:00 AM,11:00:00 AM,,,,,,,,,","Thursday,9:00,11:00,,,,,,,1,Day of Month,,,",Peoria Food Bank
,"Thursday,10:00:00 AM,12:00:00 PM,,,,,,,,,","Thursday,10:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturday,11:00:00 AM,1:00:00 PM,,,,,,,,,","Saturday,11:00,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Tuesday,11:00:00 AM,4:00:00 PM,,,,,,,,,","Tuesday,11:00,16:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"2nd Saturday,by appointment,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"Tues, Thu,1:00:00 PM,4:00:00 PM,,,,,,,,,","Tuesday,13:00,16:00,,,,,,,,Weekly,,,;Thursday,13:00,16:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Friday,10:00:00 AM,12:00:00 PM,,,,,,,,,","Friday,10:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Last SAT,10:00:00 AM,12:00:00 PM,,,,,,,,,","Saturday,10:00,12:00,,,,,Last of month (may be 5th),,4,Day of Month,,,",Peoria Food Bank
,"1ST FRIDAY,8:00:00 AM,10:00:00 AM,,,,,,,,,","Friday,8:00,10:00,,,,,,,1,Day of Month,,,",Peoria Food Bank
,"Thursday,9:45:00 AM,11:45:00 AM,,,,,,,,,","Thursday,9:45,11:45,,,,,,,,Weekly,,,",Peoria Food Bank
,"Fridays,1:00:00 PM,3:00:00 PM,,,,,,,,,","Friday,13:00,15:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Tuesday,11:00:00 AM,1:00:00 PM,,,,,,,,,","Tuesday,11:00,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"4TH TUE,5:00:00 PM,7:00:00 PM,,,,,,,,,","Tuesday,17:00,19:00,,,,,,,4,Day of Month,,,",Peoria Food Bank
,"serves meals to a group home on Sundays,not a public pantry,,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"Tue, Fri,10:00:00 AM,12:00:00 PM,,,,,,,,,","Tuesday,10:00,12:00,,,,,,,,Weekly,,,;Friday,10:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"1ST TUE,9:00:00 AM,11:00:00 AM,,,,,,,,,","Tuesday,9:00,11:00,,,,,,,1,Day of Month,,,",Peoria Food Bank
,"Wednesdays,1:00:00 PM,1:00:00 PM,,,,,,,,,","Wednesday,13:00,15:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Saturdays,11:00:00 AM,1:00:00 PM,,,,,,,,,","Saturday,11:00,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"3RD WED,5:30:00 PM,7:30:00 PM,,,,,,,,,","Wednesday,17:30,19:30,,,,,,,3,Day of Month,,,",Peoria Food Bank
,"Wednesday,9:00:00 AM,11:00:00 AM,,,,,,,,,","Wednesday,9:00,11:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Monday,9:00:00 AM,11:00:00 AM,,,,,,,,,","Monday,9:00,11:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"4TH FRI,1:00:00 PM,3:00:00 PM,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"4TH FRI,1:00:00 PM,3:00:00 PM,,,,,,,,,","Friday,13:00,15:00,,,,,,,4,Day of Month,,,",Peoria Food Bank
,"Tuesday,3:00:00 PM,5:00:00 PM,,,,,,,,,","Tuesday,15:00,17:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Thursday,by appointment,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"1ST & 3RD THU,5:00:00 PM,6:00:00 PM,,,,,,,,,","Thursday,17:00,18:00,,,,,,,1,Day of Month,,,;Thursday,17:00,18:00,,,,,,,3,Day of Month,,,",Peoria Food Bank
,"Mon, Wed, Fri,1:00:00 PM,3:00:00 PM,9:00:00 AM,11:00:00 AM,,,,,,,","Monday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Wednesday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Friday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,",Peoria Food Bank
,"Donna delivers food directly to residence in a group home.  Not a public pantry.,,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"Thursday,9:00:00 AM,12:00:00 PM,,,,,,,,,","Thursday,9:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Wed, Fri,9:00:00 AM,12:00:00 PM,,,,,,,,,","Wednesday,9:00,12:00,,,,,,,,Weekly,,,;Friday,9:00,12:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Pantry: M, T, Th,9:00:00 AM,11:30:00 AM,1:00:00 PM,4:00:00 PM,,Soup Kitchen: Mon-Fri,,,11:30:00 AM,1:00:00 PM,","Monday,9:00,11:30,13:00,16:00,,,,,,Weekly,,,;Tuesday,9:00,11:30,13:00,16:00,,,,,,Weekly,,,;Thursday,9:00,11:30,13:00,16:00,,,,,,Weekly,,,;Monday,11:30,13:00,,,,,,,,Weekly,,,;Tuesday,11:30,13:00,,,,,,,,Weekly,,,;Wednesday,11:30,13:00,,,,,,,,Weekly,,,;Thursday,11:30,13:00,,,,,,,,Weekly,,,;Friday,11:30,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Mon-Fri,9:00:00 AM,3:00:00 PM,,,,,,,,,","Monday,9:00,15:00,,,,,,,,Weekly,,,;Tuesday,9:00,15:00,,,,,,,,Weekly,,,;Wednesday,9:00,15:00,,,,,,,,Weekly,,,;Thursday,9:00,15:00,,,,,,,,Weekly,,,;Friday,9:00,15:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"No hours of operation. Just call when need food. They have a big Christmas give away at the end of the year.,,,,,,,,,,,",",,,,,,,,,,,,,",Peoria Food Bank
,"3RD THU,5:00:00 PM,7:00:00 PM,,,,,,,,,","Thursday,17:00,19:00,,,,,,,3,Day of Month,,,",Peoria Food Bank
,"3rd & 4th Thu,12:00:00 PM,2:00:00 PM,,,,,,,,,","Thursday,12:00,14:00,,,,,,,3,Day of Month,,,;Thursday,12:00,14:00,,,,,,,4,Day of Month,,,",Peoria Food Bank
,"Mon-Fri,10:00:00 AM,4:00:00 PM,,,,,,,,,","Monday,10:00,16:00,,,,,,,,Weekly,,,;Tuesday,10:00,16:00,,,,,,,,Weekly,,,;Wednesday,10:00,16:00,,,,,,,,Weekly,,,;Thursday,10:00,16:00,,,,,,,,Weekly,,,;Friday,10:00,16:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Mon, Thu,9:00:00 AM,11:00:00 AM,,,,,,,,,","Monday,9:00,11:00,,,,,,,,Weekly,,,;Thursday,9:00,11:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Mon, Wed, Fri,9:00:00 AM,11:30:00 AM,,,,,,,,,","Monday,9:00,11:30,,,,,,,,Weekly,,,;Wednesday,9:00,11:30,,,,,,,,Weekly,,,;Friday,9:00,11:30,,,,,,,,Weekly,,,",Peoria Food Bank
,"Monday,9:00:00 AM,1:00:00 PM,,,,,,,,,","Monday,9:00,13:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"Mondays,9:00:00 AM,11:00:00 AM,,,,,,,,,","Monday,9:00,11:00,,,,,,,,Weekly,,,",Peoria Food Bank
,"2ND & 4TH SAT,4:00:00 PM,5:00:00 PM,,,,,,,,,","Saturday,16:00,17:00,,,,,,,2,Day of Month,,,;Saturday,16:00,17:00,,,,,,,4,Day of Month,,,",Peoria Food Bank
P-08005,"M T W TH F,M-TH 8-5, F 8-4","Monday,8:00,17:00,,,,,,,,Weekly,,,;Tuesday,8:00,17:00,,,,,,,,Weekly,,,;Wednesday,8:00,17:00,,,,,,,,Weekly,,,;Thursday,8:00,17:00,,,,,,,,Weekly,,,;Friday,8:00,16:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-0146,"3rd Mon,6-8","Monday,18:00,20:00,,,,,,,3,Day of Month,,,",Tri-State Food Bank
P-2191,"W,6:00-8:00pm","Wednesday, 18:00, 20:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-2058,"2ND TUES,1:00-3:00 pm","Tuesday,13:00,15:00,,,,,,,2,Day of Month,,,",Tri-State Food Bank
P-0197,"3rd Sat,11-2","Saturday,11:00,14:00,,,,,,,3,Day of Month,,,",Tri-State Food Bank
P-2135,"T TH,9-12","Tuesday,9:00,12:00,,,,,,,,Weekly,,,;Thursday,9:00,12:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-2198,"TH,4-6","Thursday,16:00,18:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-2171,"T,9:00-11:00 or  by appt-Warrick Co. only-offers emergency","Tuesday,9:00,11:00,,,,,By Appointment,,,Weekly,,,",Tri-State Food Bank
P-2049,"T W TH F S,FP 8:30-12 (Ofc 8 - 4) added Sat 8:30-12","Tuesday,8:30,12:00,,,,,,,,Weekly,,,;Wednesday,8:30,12:00,,,,,,,,Weekly,,,;Thursday,8:30,12:00,,,,,,,,Weekly,,,;Friday,8:30,12:00,,,,,,,,Weekly,,,;Saturday,8:30,12:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-0225,"T TH,9-11:30, 1:15-3","Tuesday,9:00,11:30,13:15,15:00,,,,,,Weekly,,,;Thursday,9:00,11:30,13:15,15:00,,,,,,Weekly,,,",Tri-State Food Bank
P-2121,"M W F,9-11:30 (call for appt due to COVID)(closed holidays)","Monday,9:00, 11:30,,,,,Call for Appointment,,,Weekly,,,;Wednesday,9:00, 11:30,,,,,Call for Appointment,,,Weekly,,,;Friday,9:00, 11:30,,,,,Call for Appointment,,,Weekly,,,",Tri-State Food Bank
P-2228,"3rd Tues (Changes to 3rd W eff. 5/21),11-2,For emergency-call for appointment","Wednesday,11:00,14:00,,,,,For Emergency - Call,,3,Day of Month,,,",Tri-State Food Bank
P-2016,"M W S,M 1-3, W 5:30-7, S 10-12","Monday,13:00,15:00,,,,,,,,Weekly,,,;Wednesday,17:30,19:00,,,,,,,,Weekly,,,;Saturday,10:00,12:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-2025,"W,9-12","Wednesday,9:00,12:00,,,,,,,,Weekly,,,",Tri-State Food Bank
P-24004,"ALL DAYS,SOUP 6:30,12,5:30","Monday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Tuesday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Wednesday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Thursday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Friday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Saturday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,;Sunday,6:30,7:30,12:00,13:00,17:30,18:30,,,,Weekly,,,",Tri-State Food Bank
